Date,CPI_YoY
1985-12-31,91.69
1986-12-31,774.70
1987-12-31,223.00
1988-12-31,393.50
1989-12-31,95.77
1990-12-31,36.03
1991-12-31,67.57
1992-12-31,37.67
1993-12-31,5.20
1994-12-31,14.43
1995-12-31,12.69
1996-12-31,4.50
1997-12-31,3.60
1998-12-31,7.27
1999-12-31,0.06
2000-12-31,-1.70
2001-12-31,-0.38
2002-12-31,4.03
2003-12-31,3.04
2004-12-31,7.77
2005-12-31,8.34
2006-12-31,7.46
2007-12-31,8.30
2008-12-31,23.12
2009-12-31,6.88
2010-12-31,9.19
2011-12-31,18.68
2012-12-31,9.09
2013-12-31,6.60
2014-12-31,4.09
2015-12-31,0.60
2016-12-31,2.66
2017-12-31,3.53
2018-12-31,3.54
2019-12-31,2.79
2020-12-31,3.23
2021-12-31,1.84
2022-12-31,3.15
2023-12-31,3.25
2024-12-31,3.63
2025-12-31,3.31
