Date,GDP_YoY
1985-12-31,3.8
1986-12-31,2.8
1987-12-31,3.6
1988-12-31,5.1
1989-12-31,7.4
1990-12-31,5.1
1991-12-31,6.0
1992-12-31,8.7
1993-12-31,8.1
1994-12-31,8.8
1995-12-31,9.5
1996-12-31,9.3
1997-12-31,8.2
1998-12-31,5.8
1999-12-31,4.8
2000-12-31,6.8
2001-12-31,6.9
2002-12-31,7.1
2003-12-31,7.3
2004-12-31,7.8
2005-12-31,7.5
2006-12-31,7.0
2007-12-31,7.1
2008-12-31,5.7
2009-12-31,5.4
2010-12-31,6.4
2011-12-31,6.4
2012-12-31,5.5
2013-12-31,5.6
2014-12-31,6.4
2015-12-31,7.0
2016-12-31,6.7
2017-12-31,6.9
2018-12-31,7.2
2019-12-31,7.2
2020-12-31,2.9
2021-12-31,2.6
2022-12-31,8.0
2023-12-31,5.1
2024-12-31,7.1
2025-12-31,8.0
