Date,Official,BlackMarket
1983-01-31,0.98,2.50
1983-06-30,1.00,2.80
1983-12-31,1.00,3.00
1984-06-30,1.00,3.20
1984-12-31,1.00,3.50
1985-06-30,3.00,5.00
1985-09-14,12.00,15.00
1985-12-31,15.00,18.00
1986-06-30,18.00,50.00
1986-12-31,8.05,80.00
1987-06-30,40.00,120.00
1987-12-31,78.86,150.00
1988-06-30,200.00,350.00
1988-12-31,400.00,600.00
1989-06-30,2500.00,3200.00
1989-12-31,4500.00,5500.00
1990-06-30,6000.00,7000.00
1990-12-31,6500.00,7500.00
1991-06-30,10000.00,11500.00
1991-12-31,11000.00,12000.00
1992-06-30,14000.00,15000.00
1992-12-31,11000.00,12000.00
1993-03-31,10600.00,11200.00
1993-06-30,10800.00,11400.00
1993-09-30,10900.00,11500.00
1993-12-31,10950.00,11600.00
1994-03-31,11000.00,11650.00
1994-06-30,11000.00,11700.00
1994-09-30,11000.00,11750.00
1994-12-31,11000.00,11800.00
1995-03-31,11000.00,11700.00
1995-06-30,11000.00,11600.00
1995-09-30,11000.00,11550.00
1995-12-31,11000.00,11500.00
1996-03-31,11000.00,11450.00
1996-06-30,11033.00,11480.00
1996-09-30,11070.00,11520.00
1996-12-31,11100.00,11550.00
1997-03-31,11130.00,11580.00
1997-06-30,11160.00,11610.00
1997-09-30,11500.00,12000.00
1997-12-31,12000.00,12800.00
1998-01-31,11800.00,12600.00
1998-06-30,13450.00,14200.00
1998-12-31,13900.00,14650.00
1999-06-30,14000.00,14750.00
1999-12-31,14028.00,14780.00
2000-06-30,14200.00,14950.00
2000-12-31,14428.00,15180.00
2001-06-30,14750.00,15500.00
2001-12-31,15084.00,15850.00
2002-06-30,15300.00,16050.00
2002-12-31,15368.00,16120.00
2003-06-30,15500.00,16250.00
2003-12-31,15510.00,16260.00
2004-06-30,15700.00,16450.00
2004-12-31,15746.00,16500.00
2005-06-30,15820.00,16570.00
2005-12-31,15859.00,16610.00
2006-06-30,15950.00,16700.00
2006-12-31,16014.00,16760.00
2007-06-30,16100.00,16850.00
2007-12-31,16105.00,16860.00
2008-06-30,16520.00,17900.00
2008-12-31,17483.00,19100.00
2009-06-30,17650.00,18950.00
2009-12-31,17941.00,19240.00
2010-06-30,19000.00,20200.00
2010-12-31,19495.00,20700.00
2011-06-30,20600.00,21800.00
2011-12-31,20828.00,22030.00
2012-06-30,20850.00,22050.00
2012-12-31,20828.00,22030.00
2013-06-30,21000.00,22100.00
2013-12-31,21036.00,22140.00
2014-06-30,21150.00,22200.00
2014-12-31,21246.00,22300.00
2015-06-30,21800.00,22650.00
2015-12-31,22355.00,23200.00
2016-06-30,22400.00,23250.00
2016-12-31,22370.00,23220.00
2017-06-30,22700.00,23500.00
2017-12-31,22370.00,23220.00
2018-06-30,22800.00,23600.00
2018-12-31,23175.00,23980.00
2019-06-30,23200.00,24000.00
2019-12-31,23175.00,23980.00
2020-03-31,23485.00,24150.00
2020-06-30,23250.00,23950.00
2020-09-30,23200.00,23900.00
2020-12-31,23173.00,23900.00
2021-03-31,23100.00,23800.00
2021-06-30,23000.00,23700.00
2021-09-30,22780.00,23480.00
2021-12-31,22782.00,23500.00
2022-03-31,22900.00,23650.00
2022-06-30,23350.00,24150.00
2022-09-30,23650.00,24600.00
2022-10-31,24500.00,25500.00
2022-12-31,23862.00,24750.00
2023-03-31,23550.00,24300.00
2023-06-30,23650.00,24400.00
2023-09-30,23850.00,24600.00
2023-12-31,24320.00,25100.00
2024-03-04,24004.00,25670.00
2024-06-30,24800.00,25600.00
2024-09-30,24500.00,25300.00
2024-12-31,25052.00,25800.00
2025-03-31,25100.00,26200.00
2025-06-30,25116.00,26470.00
2025-09-30,25150.00,27750.00
2025-11-30,25136.00,27800.00
