Date,GDP_USD_Billion
1985-12-31,14.48
1986-12-31,10.63
1987-12-31,8.58
1988-12-31,6.83
1989-12-31,6.29
1990-12-31,8.22
1991-12-31,9.70
1992-12-31,12.53
1993-12-31,16.70
1994-12-31,20.74
1995-12-31,26.44
1996-12-31,31.40
1997-12-31,34.14
1998-12-31,34.58
1999-12-31,36.43
2000-12-31,39.56
2001-12-31,41.28
2002-12-31,44.56
2003-12-31,50.15
2004-12-31,62.90
2005-12-31,73.18
2006-12-31,84.27
2007-12-31,98.38
2008-12-31,124.80
2009-12-31,129.02
2010-12-31,143.16
2011-12-31,171.26
2012-12-31,195.19
2013-12-31,212.72
2014-12-31,232.91
2015-12-31,236.79
2016-12-31,252.13
2017-12-31,277.12
2018-12-31,303.08
2019-12-31,331.82
2020-12-31,346.30
2021-12-31,370.14
2022-12-31,408.02
2023-12-31,433.86
2024-12-31,476.39
2025-12-31,506.43
