Date,RefRate,Savings12M
2017-01-01,6.50,6.60
2017-02-01,6.50,6.70
2017-03-01,6.50,6.80
2017-04-01,6.50,6.80
2017-05-01,6.50,6.80
2017-06-01,6.50,6.80
2017-07-10,6.25,6.70
2017-08-01,6.25,6.60
2017-09-01,6.25,6.50
2017-10-01,6.25,6.40
2017-11-01,6.25,6.30
2017-12-01,6.25,6.20
2018-01-01,6.25,6.20
2018-02-01,6.25,6.20
2018-03-01,6.25,6.30
2018-04-01,6.25,6.40
2018-05-01,6.25,6.50
2018-06-01,6.25,6.60
2018-07-01,6.25,6.70
2018-08-01,6.25,6.80
2018-09-01,6.25,6.90
2018-10-01,6.25,7.00
2018-11-01,6.25,7.10
2018-12-01,6.25,7.20
2019-01-01,6.25,7.30
2019-02-01,6.25,7.40
2019-03-01,6.25,7.50
2019-04-01,6.25,7.50
2019-05-01,6.25,7.50
2019-06-01,6.25,7.50
2019-07-01,6.25,7.50
2019-08-01,6.25,7.50
2019-09-01,6.25,7.50
2019-10-01,6.25,7.50
2019-11-01,6.25,7.50
2019-12-17,6.00,7.50
2020-01-01,6.00,7.50
2020-02-01,6.00,7.50
2020-03-13,5.00,6.50
2020-04-01,5.00,6.00
2020-05-13,4.50,5.50
2020-09-15,4.00,5.00
2020-10-01,4.00,5.00
2020-11-01,4.00,5.00
2020-12-01,4.00,5.00
2021-01-01,4.00,5.00
2021-02-01,4.00,5.00
2021-03-01,4.00,5.00
2021-04-01,4.00,5.00
2021-05-01,4.00,5.00
2021-06-01,4.00,5.00
2021-07-01,4.00,5.00
2021-08-01,4.00,5.00
2021-09-01,4.00,5.00
2021-10-01,4.00,5.00
2021-11-01,4.00,5.00
2021-12-01,4.00,5.00
2022-01-01,4.00,5.00
2022-02-01,4.00,5.00
2022-03-01,4.00,5.00
2022-04-01,4.00,5.00
2022-05-01,4.00,5.20
2022-06-01,4.00,5.40
2022-07-01,4.00,5.60
2022-08-01,4.00,5.80
2022-09-23,5.00,6.00
2022-10-24,6.00,7.00
2022-11-01,6.00,7.50
2022-12-01,6.00,8.00
2023-01-01,6.00,8.50
2023-02-01,6.00,8.20
2023-03-14,5.50,7.80
2023-03-31,5.00,7.40
2023-04-03,5.00,7.40
2023-05-01,5.00,7.00
2023-05-16,4.50,6.60
2023-06-01,4.50,6.50
2023-07-01,4.50,6.50
2023-08-01,4.50,6.50
2023-09-01,4.50,6.50
2023-10-01,4.50,6.50
2023-11-01,4.50,6.50
2023-12-01,4.50,6.50
2024-01-01,4.50,5.00
2024-02-01,4.50,5.00
2024-03-01,4.50,5.00
2024-04-01,4.50,5.00
2024-05-01,4.50,5.00
2024-06-01,4.50,5.00
2024-07-01,4.50,4.60
2024-08-01,4.50,4.65
2024-09-01,4.50,4.65
2024-10-01,4.50,4.75
2024-11-01,4.50,4.75
2024-12-01,4.50,4.80
2025-01-01,4.50,4.85
2025-02-01,4.50,4.95
2025-03-01,4.50,4.95
2025-04-01,4.50,5.00
2025-05-01,4.50,5.00
2025-06-01,4.50,5.00
2025-07-01,4.50,5.10
2025-08-01,4.50,5.20
2025-09-01,4.50,5.30
2025-10-01,4.50,5.40
2025-11-01,4.50,5.50
2025-12-01,4.50,5.60
